filename,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,F0,ZCR,Gender
304.wav,-249.2503,178.54224,-2.6259549,63.086555,24.083708,-8.031785,6.6415205,-15.055029,-9.340479,-9.87468,-10.853802,-6.76914,-11.530629,6.1546063,0.52165616,-12.897627,-0.6845016,-3.6566148,-4.549405,3.1294494,124.54086026719082,0.02740478515625,1
455.wav,-211.9094,153.83905,-39.14218,75.56339,-26.839024,-16.842503,3.7078552,-27.366043,13.787246,-10.492511,-11.147799,-2.2803168,-8.805307,-0.8139738,-15.083253,-2.8319657,-6.555464,-14.311318,-2.3988733,-13.684528,166.6286674477572,0.0931396484375,1
427.wav,-251.08188,130.39554,-11.461527,52.995148,-24.656307,-26.59479,7.716732,-25.086882,-18.396568,-16.48822,-14.987821,-9.629708,-8.645319,0.98920083,-8.811457,-13.13451,-2.970993,1.8182883,4.091538,1.6316824,334.7763893538391,0.09771728515625,0
6.wav,-282.1505,196.20915,-15.099695,35.97821,-12.31109,4.4623494,14.678852,-35.872917,-7.525451,0.8264414,3.9468236,7.6625338,-11.817139,1.6502783,-4.3082256,-11.971204,2.2490926,-6.7450786,-7.4086094,0.3893492,206.67807408322884,0.038055419921875,1
262.wav,-276.40186,113.5917,-6.294283,79.8078,-32.579056,-20.56628,2.2868142,-35.636414,-7.9709415,-12.824947,-7.4229393,-9.221412,-14.488647,0.12424439,-6.8251414,-3.7058036,4.158886,6.851734,5.1617713,6.259776,392.7681681642808,0.047943115234375,0
8.wav,-259.19778,158.62477,-13.561107,39.689346,-11.894718,-6.9096646,19.787012,-13.523518,-20.697914,-18.386238,-4.4080944,-5.628378,-13.592514,-10.116503,-17.550571,-14.880673,-5.5802393,-6.495562,-12.379302,-4.3966756,204.6868631014564,0.09033203125,1
199.wav,-272.64923,131.20477,-67.02703,70.85435,-13.268551,-10.073267,17.331615,-16.58398,14.642128,-7.2211504,-3.0324423,1.1409897,-19.576408,-0.7501197,-15.288211,-18.448507,-2.8232305,-11.9664955,-5.888298,2.7859426,154.71221104943922,0.135650634765625,1
8.wav,-152.72958,154.66472,-95.90549,69.091125,-23.672043,-0.033349514,12.800543,-36.025978,-5.2712283,-21.86356,-1.1607795,-2.605496,-12.651516,5.1627493,-13.011698,-10.880045,-7.294778,-12.541969,-11.049261,-11.502861,166.07065999601164,0.1103515625,1
6.wav,-244.89807,156.49298,-25.682682,46.578842,-33.797924,-1.9729238,15.324581,-48.391273,-7.1587873,-2.223325,-19.069052,-6.8937674,-1.7098038,-2.9336166,-13.266813,0.7210512,0.6693637,-10.519319,-3.3254058,-7.9616337,317.8801924353025,0.095794677734375,1
666.wav,-183.64569,140.00682,-42.758347,29.181908,-26.38758,-9.605452,3.5129762,-11.734497,18.492228,-16.82297,-23.765825,-16.449127,-19.110075,-1.8893659,-16.570248,-13.160989,-1.2312744,-1.4251875,1.2656629,-6.172183,336.81882415268103,0.060546875,0
214.wav,-325.4345,104.059235,-0.5048848,55.215965,29.829105,9.408106,7.461446,-21.788883,-25.406544,-33.27162,-24.081131,-20.798967,-30.823961,-7.398342,-15.28002,-5.5518,25.2958,-16.144566,-17.291683,7.657439,220.4686996411543,0.038238525390625,1
5.wav,-167.91913,169.47522,-41.105743,82.57443,1.5913849,-4.7154946,6.5633516,-32.51606,12.514466,9.634833,0.7708231,-1.7884246,-9.944029,7.7301645,-8.245312,-12.112912,5.1772575,-3.0791326,-6.614657,0.46452546,163.7358384930515,0.03179931640625,1
