MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,F0,ZCR,Gender
-233.70909,148.97513,-9.992089,54.269527,-36.959724,-37.631325,0.7718157,-15.149273,4.1900234,-16.909426,-12.35319,-3.6007926,-33.19481,-17.795326,-0.9785809,-9.807114,-9.767961,-0.9263196,-0.79852414,-2.8507698,328.53399684924324,0.0576171875,0
-235.70186,175.57365,-19.79636,67.796585,-43.046036,-2.349144,22.13803,-33.509895,-30.602009,-20.305645,13.565931,-1.6516609,-17.568096,0.9061281,2.805108,-13.815559,-5.392988,2.5412831,-18.017012,2.3755941,138.18028677687056,0.1307373046875,1
-254.50294,151.6448,-20.937246,47.705597,-32.25188,-28.629585,11.378497,-23.792727,0.28792596,-4.804205,-24.960135,-4.8504705,-5.778166,-12.375519,-1.9220212,-2.367505,-12.189608,-5.159425,-5.4381332,-10.451935,279.7428827419782,0.0921630859375,0
-323.88974,100.441444,-7.4877033,23.708036,9.382955,-4.370167,-4.351928,-10.755955,-1.6387725,-16.206556,-21.712162,-9.741753,-10.741292,-9.646185,-16.101866,-11.335678,-3.8335042,-13.430127,-3.949986,-2.7500515,232.3926931461828,0.0479736328125,1
-267.18848,157.85146,18.521347,42.513847,-37.115574,-9.883036,-4.949133,-39.917236,6.5468493,-12.541224,-20.338156,-4.598214,-17.763237,-6.3243628,-16.836994,-13.400736,-2.7122388,-14.098737,-2.991774,-8.263113,253.59129100944216,0.03424072265625,0
-255.09822,143.33112,-7.5991755,70.47942,-41.019653,-51.820766,-13.013519,-24.61471,-3.4926486,-8.5919485,-6.032633,-5.619165,-12.959069,-11.827362,-8.400439,-11.191757,-19.016808,-0.68699235,2.1418474,-2.3704247,336.2351011349345,0.10552978515625,0
-233.84729,130.56432,-20.752499,95.79039,-3.7867644,-10.179287,6.393702,-33.77533,-5.815098,-16.656883,-8.860949,-3.7270715,-21.211273,-8.978443,-2.698915,3.740769,-7.5896955,-12.480654,-10.84334,-19.348082,130.60214788638805,0.044219970703125,1
-281.79202,137.09746,-34.463768,35.98533,-22.611897,-31.08599,-3.7712922,-23.535414,-6.225601,-5.391526,-0.5204974,-1.257527,-8.219663,2.218,-12.350479,-8.753817,-5.6338296,-17.294647,-2.6697562,-3.2756107,365.2476389285138,0.055084228515625,0
-231.98819,181.4089,-17.646194,39.473522,-11.219355,14.066494,-0.9975376,-30.17788,7.9555693,-14.782719,-5.280408,-3.9783587,-12.186878,6.5886736,-14.465793,-8.969467,2.8847613,-8.130316,-3.0119295,-1.2865189,153.00351952863423,0.030853271484375,1
-160.14017,155.0298,-39.42304,52.11848,9.855297,5.9855185,9.840215,-9.205866,14.321201,-7.635746,-0.8489353,6.3692513,-9.458574,-1.7953305,-8.490362,-4.879812,-5.467142,-9.22384,0.07656439,-4.1467624,300.2006063451427,0.056915283203125,0
