filename,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,F0,ZCR,code_9_digits,file_number
1.wav,-255.93294,161.60593,-11.958823,61.506165,-20.528942,4.906394,21.195232,-21.307346,11.488895,-9.582129,-5.566125,4.5517316,-11.348867,2.8228114,-11.550681,-5.4806633,-3.6239715,-18.420193,1.6586773,-4.4928226,178.9925711917659,0.031951904296875,810199459,810199459
10.wav,-191.35956,178.88272,-27.918236,43.852562,-2.74266,1.4414996,-8.753847,-12.0907135,24.744091,-14.862568,3.1113362,11.007635,-9.5062685,7.3750887,-11.560955,-7.096938,1.8476721,-10.369937,-6.9448876,-10.17318,132.59191333543782,0.032501220703125,810199459,810199459
11.wav,-184.94078,147.58366,-20.097391,109.71014,-12.315132,8.697474,19.379913,-22.957178,13.916485,-24.246452,-13.221733,3.7763238,-8.106847,1.8913267,-9.760261,6.32539,3.0352519,-12.29223,6.8251753,1.9740303,130.04928377144776,0.07293701171875,810199459,810199459
12.wav,-206.0661,156.78397,-20.479156,70.47414,-0.1093688,-4.1617002,8.811987,-6.2511535,10.159554,-16.282183,-5.804487,-2.320757,-8.08115,3.8449183,-13.859537,-3.7828767,3.486938,-9.895118,-3.4610224,-2.0788894,167.3058673046061,0.048919677734375,810199459,810199459
13.wav,-156.33594,196.48401,-44.79647,68.20282,-9.276953,13.328918,20.700191,-12.771256,13.07362,-12.2166195,3.8908231,1.3687253,-9.791851,5.3461504,-7.9293756,-4.680306,-5.0201526,-3.691835,-2.9448042,-5.08969,66.98505962593536,0.037078857421875,810199459,810199459
14.wav,-218.72073,152.20929,-24.64302,71.964966,1.8709834,-3.5319386,3.0201209,-10.901613,9.992506,-16.34797,-4.3588247,-2.2954643,-6.3019733,5.105138,-14.874922,-2.8548212,4.651256,-7.186402,-5.398234,-3.4894662,175.78577988714193,0.044952392578125,810199459,810199459
15.wav,-230.97397,167.38013,-13.801849,44.511497,-8.8582945,6.843347,2.0782614,-13.592974,21.936539,-3.5355792,-1.3376443,1.1854997,-4.301109,6.155777,-12.371416,-6.5981,-2.2742863,-11.2901,-7.7034664,-9.471956,133.74728340408765,0.02911376953125,810199459,810199459
16.wav,-253.02536,173.11795,10.68675,40.521084,-3.8227782,2.230345,13.248653,-17.401018,5.243459,-0.7265045,-4.328457,10.51251,-2.6691015,-1.9448044,-5.0323224,-7.521401,-3.8465886,-13.114048,-9.426744,-6.3296747,131.23197418216543,0.033905029296875,810199459,810199459
17.wav,-191.18216,170.69028,-16.50895,48.84665,4.235066,-5.044609,0.13446152,-7.563672,24.622097,7.086829,1.1903346,-3.480043,-5.943699,5.9617066,-23.139172,-11.610014,3.912292,-16.465443,-8.043132,-6.3776236,133.04344550768326,0.023895263671875,810199459,810199459
18.wav,-183.676,169.47723,-19.140648,50.384712,3.1585188,-4.7475324,1.0766361,-6.96162,25.564575,6.5011015,1.466407,-2.544158,-5.7959747,5.2297635,-23.77168,-10.409814,3.871746,-17.108095,-6.8773885,-5.9452696,133.20569209421413,0.02288818359375,810199459,810199459
